Australian Bureau of Statistics

"2016 Census - Counting Employed Persons, Place of Work (POW)"
"STATE (UR) by LGA (POW)"
"Counting: Persons Aged 15 Years and Over Place of Work"

Filters:
"Default Summation","Persons Aged 15 Years and Over Place of Work"

"Counting","STATE (UR)","LGA (POW)","Count",
"Persons Aged 15 Years and Over Place of Work","Western Australia","Yarra Ranges (S)",9
"Persons Aged 15 Years and Over Place of Work","Western Australia","Yarriambiack (S)",6
"Persons Aged 15 Years and Over Place of Work","Western Australia","Unincorporated Vic",59
"Persons Aged 15 Years and Over Place of Work","Western Australia","No Fixed Address (Vic.)",98
"Persons Aged 15 Years and Over Place of Work","Western Australia","Migratory - Offshore - Shipping (Vic.)",0
"Persons Aged 15 Years and Over Place of Work","Tasmania","Alpine (S)",0
"Persons Aged 15 Years and Over Place of Work","Tasmania","Ararat (RC)",0
"Persons Aged 15 Years and Over Place of Work","Tasmania","Ballarat (C)",10
"Persons Aged 15 Years and Over Place of Work","Tasmania","Banyule (C)",13
"Persons Aged 15 Years and Over Place of Work","Tasmania","Bass Coast (S)",0
"Persons Aged 15 Years and Over Place of Work","Tasmania","Baw Baw (S)",0
"Persons Aged 15 Years and Over Place of Work","Tasmania","Bayside (C)",8
"Persons Aged 15 Years and Over Place of Work","Tasmania","Benalla (RC)",0
"Persons Aged 15 Years and Over Place of Work","Tasmania","Boroondara (C)",23
"Persons Aged 15 Years and Over Place of Work","Tasmania","Brimbank (C)",10
"Persons Aged 15 Years and Over Place of Work","Tasmania","Buloke (S)",0
"Persons Aged 15 Years and Over Place of Work","Tasmania","Campaspe (S)",0
"Persons Aged 15 Years and Over Place of Work","Tasmania","Cardinia (S)",6
"Persons Aged 15 Years and Over Place of Work","Tasmania","Casey (C)",3
"Persons Aged 15 Years and Over Place of Work","Tasmania","Central Goldfields (S)",0
"Persons Aged 15 Years and Over Place of Work","Tasmania","Colac-Otway (S)",0
